"","generalElectionVote","partyId1","partyId","countryOfBirth","reasonForVote"
"6788",1,1,1,1,1
"6789",NA,10,10,1,NA
"6790",5,5,5,3,2
"6791",5,5,5,4,2
"6792",1,99,9999,1,2
"6793",2,2,2,1,2
"6794",1,6,6,1,4
"6795",NA,1,1,1,NA
"6796",1,1,1,1,1
"6797",1,3,3,1,5
"6798",1,1,1,3,2
"6799",6,2,2,3,2
"6800",5,5,5,3,2
"6801",1,1,1,1,2
"6802",2,2,2,3,2
"6803",5,7,7,3,5
"6804",2,10,10,3,4
"6805",2,2,2,1,1
"6806",1,1,1,3,2
"6807",6,10,10,3,2
"6808",1,1,1,3,2
"6809",2,2,2,1,1
"6810",1,6,6,1,4
"6811",2,2,2,3,4
"6812",1,2,2,1,2
"6813",1,1,1,3,2
"6814",2,10,10,1,4
"6815",1,1,1,1,2
"6816",1,1,1,3,2
"6817",1,1,1,1,2
"6818",6,6,6,1,2
"6819",1,10,10,1,4
"6820",1,1,1,1,2
"6821",2,3,3,NA,4
"6822",4,10,10,2,2
